Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Initial,Age_band,Alone,Family_Size
0,1,0,0,0,3.545418930411529,1,0,4,1,0
1,1,0,0,1,4.148805916338137,1,0,1,0,1
1,2,1,0,1,3.1354942159291497,0,1,2,0,1
0,2,0,1,0,3.258096538021482,0,0,2,0,1
0,3,1,0,0,2.0663309725297405,0,2,1,1,0
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
0,1,0,0,1,4.347532234884687,0,0,1,0,1
0,3,0,0,0,2.158044752235899,0,0,2,1,0
0,3,0,2,0,2.0700223197633445,0,0,2,0,2
0,3,0,0,0,2.0663309725297405,0,0,1,1,0
1,3,1,0,0,2.0347056478384444,0,2,1,1,0
1,3,0,0,0,2.0509134580652977,0,0,2,1,0
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
1,3,1,1,0,3.184284380098582,2,2,1,0,1
0,1,0,0,0,3.9512437185814275,0,0,2,1,0
0,3,1,1,0,2.6709850297651974,1,2,0,0,1
0,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,3,1,1,0,2.284930157755325,0,2,1,0,1
0,3,1,0,0,2.671268644120752,1,2,1,1,0
0,3,0,0,0,2.0700223197633445,0,0,1,1,0
0,3,0,0,0,2.0476928433652555,2,0,4,1,0
0,2,0,1,0,3.044522437723423,0,0,1,0,1
0,1,0,0,1,5.5114946188815885,1,0,1,0,1
0,3,1,4,2,3.442819056352975,0,2,0,0,6
0,2,0,2,0,4.297285406218791,0,0,1,0,2
0,3,0,0,0,2.0856720914304723,0,0,2,1,0
0,2,0,1,0,3.4035546012358333,1,0,2,0,1
1,2,1,0,0,2.5649493574615367,0,2,2,1,0
0,1,0,0,1,4.347532234884687,0,0,3,0,1
1,3,0,1,0,2.419630078580691,1,3,0,0,1
0,3,0,0,0,2.0476928433652555,2,0,2,1,0
1,3,0,0,0,1.9659508432494155,0,0,1,1,0
1,3,1,1,1,3.107197616774036,1,2,1,0,2
0,3,0,0,0,1.9423323277074294,0,0,2,1,0
0,3,0,0,0,2.0663309725297405,1,0,2,1,0
0,3,0,0,0,1.9530276168241774,0,0,1,1,0
0,3,1,1,0,2.6741486494265287,0,1,2,0,1
1,2,1,1,0,3.258096538021482,0,1,1,0,1
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,2,0,0,0,2.711098882480229,1,0,1,1,0
1,1,1,0,2,3.2689337565093157,0,2,1,0,2
0,1,0,1,0,3.9721769282478934,0,0,2,0,1
0,3,0,0,0,2.221017055930222,0,0,0,1,0
0,1,0,0,0,4.37197629882038,1,0,1,1,0
0,3,1,0,2,2.7243040552851014,1,1,2,0,2
1,3,1,0,0,2.0476928433652555,0,2,1,1,0
1,3,1,1,0,2.7631695003232895,0,1,1,0,1
0,3,0,0,0,1.9095425048844386,2,0,1,1,0
0,2,0,0,0,2.4423470353692043,0,0,1,1,0
0,2,0,1,1,3.6041382256588457,0,0,1,0,2
1,3,0,0,0,2.0535851271346086,0,0,1,1,0
0,3,1,2,2,3.5373295559867355,0,2,0,0,4
0,2,0,0,2,3.258096538021482,0,0,2,0,2
0,2,0,0,0,2.5649493574615367,0,4,2,1,0
0,2,0,0,0,2.5277266469709283,0,4,3,1,0
1,1,1,1,0,4.198704577546343,0,1,1,0,1
0,3,0,0,0,2.0856720914304723,0,0,3,1,0
0,3,0,0,2,2.6741486494265287,0,0,2,0,2
0,3,0,0,0,1.989585212557975,0,0,2,1,0
0,1,0,0,1,4.117071015545232,1,0,3,0,1
1,3,1,0,0,2.0455356796500372,2,2,0,1,0
0,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,3,0,0,0,2.1590033645160216,0,0,2,1,0
0,3,0,8,2,4.242045918369452,0,3,0,0,10
0,3,0,0,1,2.7788192719904172,0,0,2,0,1
1,2,1,0,0,2.7568403652716422,0,1,2,1,0
0,3,0,0,0,2.0509134580652977,0,0,1,1,0
0,3,0,0,0,2.1590033645160216,0,0,1,1,0
0,3,0,4,1,3.6810362766529106,0,3,0,0,5
1,3,0,0,2,3.021643655338492,0,3,0,0,2
1,1,1,0,1,4.007333185232471,0,1,2,0,1
0,3,1,1,4,3.32862668882732,0,1,2,0,5
0,1,0,0,0,3.2552077541155913,0,0,2,1,0
0,3,0,0,0,4.034166299106131,0,0,1,1,0
0,1,0,0,0,3.5115454388310208,0,0,3,1,0
0,3,0,4,1,3.371596911885865,2,3,0,0,5
1,3,1,1,1,2.409940617298087,0,2,0,0,2
0,3,0,0,0,2.0700223197633445,0,0,1,1,0
0,1,0,0,0,3.424125837416519,1,0,3,1,0
0,3,0,1,1,2.061048420562944,0,0,1,0,2
0,3,0,3,1,3.237371716404032,0,3,0,0,4
0,1,1,0,0,3.3573325680152166,1,2,3,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,3,0,0,0,0.0,0,0,2,1,0
0,3,1,8,2,4.242045918369452,0,2,1,0,10
0,2,0,0,0,2.711377991194885,1,0,2,1,0
0,3,0,4,2,3.4464097244837033,0,3,0,0,6
1,2,0,2,1,3.6635616461296463,0,3,0,0,3
1,3,1,0,2,3.092178171822243,0,2,0,0,2
0,1,0,0,0,3.912023005428146,0,0,2,1,0
1,3,1,1,0,2.740840023925201,2,1,2,0,1
1,1,0,0,0,3.279029747687948,0,0,2,1,0
0,3,0,1,1,2.740840023925201,2,0,2,0,2
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
1,2,1,0,0,2.5649493574615367,0,1,1,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
1,3,1,1,0,2.061048420562944,0,2,1,0,1
1,2,0,1,1,3.258096538021482,0,3,0,0,2
1,1,1,0,0,3.32218303393412,1,1,2,1,0
1,1,1,0,0,4.9871673979011675,1,2,3,1,0
0,3,0,0,0,2.0476928433652555,2,0,2,1,0
0,3,0,0,1,2.128731580890919,0,0,2,0,1
1,3,1,0,0,2.0476928433652555,2,2,1,1,0
0,2,1,0,0,2.5649493574615367,0,2,1,1,0
0,3,0,0,0,2.2512917986064953,0,0,1,1,0
0,3,0,8,2,4.242045918369452,0,0,2,0,10
0,3,0,0,0,1.8711558142080713,0,0,2,1,0
0,3,0,0,0,1.9775472339984959,1,0,2,1,0
1,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,3,1,0,1,2.3477974358155937,0,2,0,0,1
0,3,0,1,0,2.7631695003232895,0,0,1,0,1
1,3,0,0,0,2.933191755079093,1,0,1,1,0
1,3,1,0,0,2.0476928433652555,2,2,0,1,0
1,1,0,0,0,3.4339872044851463,1,0,2,1,0
0,3,0,0,0,1.9530276168241774,0,0,1,1,0
1,2,1,0,0,3.044522437723423,0,2,2,1,0
0,3,0,0,0,1.9810014688665833,0,0,1,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,3,0,1,0,2.0476928433652555,2,0,2,0,1
1,1,1,1,0,4.729818490553202,1,2,1,0,1
1,3,1,0,0,2.0700223197633445,0,2,1,1,0
0,2,0,1,0,3.295836866004329,0,0,2,0,1
1,1,1,0,0,4.334564151246186,1,2,1,1,0
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
1,3,0,0,0,2.0856720914304723,0,0,0,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,3,0,0,0,2.0856720914304723,0,0,3,1,0
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
1,1,0,1,0,4.499809670330265,0,0,2,0,1
0,3,0,0,0,2.2353763433005955,0,0,1,1,0
1,2,0,0,0,2.3513752571634776,0,0,1,1,0
0,3,0,0,0,1.9810014688665833,0,0,1,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,3,1,3,1,3.237371716404032,0,2,1,0,4
1,1,1,1,0,4.424547185829718,0,1,2,0,1
0,3,0,0,0,2.0509134580652977,0,0,1,1,0
0,2,0,0,0,2.6026896854443837,0,0,3,1,0
1,3,1,4,2,3.4464097244837033,0,2,0,0,6
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
0,3,1,0,0,2.0215475632609334,0,2,1,1,0
0,2,0,1,0,3.258096538021482,0,0,2,0,1
1,2,1,0,2,3.2676659890376327,0,2,0,0,2
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
0,2,0,0,0,2.507564673680584,0,0,2,1,0
0,3,1,1,0,2.6709850297651974,1,2,1,0,1
1,3,1,1,0,2.740840023925201,2,2,1,0,1
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
0,3,0,0,0,1.9636097261547143,0,0,1,1,0
0,3,0,0,0,1.9775472339984959,1,0,1,1,0
0,1,0,2,0,4.499809670330265,2,0,2,0,2
0,3,1,0,0,2.0509134580652977,0,2,1,1,0
1,2,1,0,2,2.6741486494265287,0,1,1,0,2
1,1,0,1,1,3.961845018011234,0,0,2,0,2
0,2,0,1,0,3.258096538021482,0,4,3,0,1
0,3,0,0,0,1.9810014688665833,0,0,2,1,0
0,3,1,1,1,2.3477974358155937,0,1,1,0,2
0,1,0,0,0,3.279029747687948,0,0,3,1,0
0,3,0,1,0,2.7788192719904172,0,0,1,0,1
0,3,1,0,2,3.006301224903225,0,1,2,0,2
1,3,1,0,2,2.7243040552851014,1,1,1,0,2
1,1,1,0,0,4.37197629882038,1,1,2,1,0
1,1,1,0,0,4.460144413937834,0,2,1,1,0
1,1,1,0,0,6.238967387173662,1,2,2,1,0
1,2,1,0,1,3.258096538021482,0,1,3,0,1
0,3,0,0,0,2.0476928433652555,2,0,2,1,0
1,3,0,4,2,3.4464097244837033,0,3,0,0,6
0,1,0,1,1,4.3776420363560575,0,0,3,0,2
0,1,0,0,0,0.0,0,0,2,1,0
0,3,1,0,0,2.0476928433652555,2,2,1,1,0
0,2,0,0,0,2.3513752571634776,0,0,2,1,0
0,3,0,4,1,3.6810362766529106,0,0,0,0,5
1,3,0,1,0,2.0509134580652977,0,0,1,0,1
1,1,1,0,1,5.033456237506958,0,1,3,0,1
1,1,1,0,0,4.909954920578875,0,2,2,1,0
0,1,0,0,0,3.4339872044851463,0,0,2,1,0
1,3,0,0,0,0.0,0,0,1,1,0
1,2,1,0,1,2.970414465569701,0,1,2,0,1
0,1,0,0,1,3.391147045808654,1,0,2,0,1
1,3,1,0,0,2.0476928433652555,2,2,1,1,0
1,1,1,1,0,4.356174068347218,0,2,3,0,1
0,3,1,0,0,2.0476928433652555,0,2,2,1,0
0,2,0,0,0,0.0,0,0,2,1,0
0,3,0,4,1,3.371596911885865,2,3,0,0,5
1,3,1,1,1,3.0081547935525483,0,1,2,0,2
0,3,0,0,0,2.0476928433652555,2,0,4,1,0
0,3,0,0,0,2.061048420562944,0,0,1,1,0
0,3,0,0,0,2.2512917986064953,0,0,0,1,0
1,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,1,0,0,0,3.258096538021482,0,0,2,1,0
0,3,0,0,0,2.1590033645160216,1,0,2,1,0
1,3,0,0,0,2.2512917986064953,0,0,1,1,0
0,3,0,0,0,2.0663309725297405,0,0,1,1,0
1,2,0,0,0,2.5649493574615367,0,0,2,1,0
1,3,1,0,0,2.0476928433652555,2,2,1,1,0
1,1,1,0,0,4.367547313409047,0,2,1,1,0
1,1,1,1,0,4.51172945766992,1,1,1,0,1
0,2,0,0,0,2.5552874465497997,1,0,2,1,0
0,3,1,0,0,2.180417459019838,0,2,1,1,0
0,3,0,0,0,2.0663309725297405,0,0,1,1,0
0,1,0,0,0,3.32218303393412,1,0,2,1,0
0,3,0,0,0,1.9781283799793465,1,0,1,1,0
0,1,1,1,2,5.020915603503812,0,2,0,0,3
1,1,0,0,0,3.417726683613366,0,0,2,1,0
1,1,1,0,1,5.5114946188815885,1,1,3,0,1
1,3,1,0,0,2.0476928433652555,2,2,1,1,0
1,3,0,2,0,3.1463051320333655,2,0,2,0,2
0,3,0,0,0,0.0,0,0,1,1,0
1,2,1,0,0,2.513656063073986,2,2,1,1,0
0,3,0,0,0,2.0856720914304723,0,0,2,1,0
1,1,0,1,2,5.020915603503812,0,3,0,0,3
1,1,1,0,0,4.708478296903478,1,2,1,1,0
1,1,1,1,0,4.690430029938915,1,1,1,0,1
0,2,0,1,0,3.1780538303479458,1,0,1,0,1
1,1,1,0,0,4.041808390519271,1,2,1,1,0
1,1,1,0,0,4.4207460202604185,1,2,1,1,0
1,1,1,2,2,5.569774778140797,1,2,1,0,4
0,2,1,1,1,3.258096538021482,0,1,1,0,2
0,3,0,0,0,2.0663309725297405,0,0,1,1,0
0,2,0,1,1,3.2676659890376327,0,0,2,0,2
1,3,1,0,0,2.061048420562944,0,2,1,1,0
1,2,1,1,0,3.258096538021482,0,1,1,0,1
0,2,0,0,0,2.6390573296152584,0,0,3,1,0
1,1,1,0,2,5.1051372686027685,0,2,1,0,2
1,1,1,1,1,4.901564199041894,1,1,2,0,2
0,3,0,0,0,1.9810014688665833,0,0,1,1,0
0,3,0,0,0,2.0663309725297405,0,0,1,1,0
1,2,1,0,0,2.513656063073986,2,2,1,1,0
1,2,1,1,1,3.367295829986474,0,1,1,0,2
0,3,0,8,2,4.242045918369452,0,0,2,0,10
1,1,1,0,0,4.909954920578875,1,2,2,1,0
0,3,0,0,0,1.830579461077637,0,0,3,1,0
1,2,1,0,0,2.5649493574615367,0,1,2,1,0
1,3,1,1,1,3.021643655338492,0,1,1,0,2
1,1,1,0,1,4.0600843255369865,1,2,0,0,1
1,3,1,2,0,3.1463051320333655,2,2,1,0,2
0,1,0,0,0,3.349904087274605,0,0,2,1,0
0,1,0,0,1,5.033456237506958,0,0,2,0,1
0,3,0,2,0,2.8903717578961645,0,0,0,0,2
1,1,1,1,0,4.895224442584928,0,1,2,0,1
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
0,1,0,1,0,4.198704577546343,0,0,1,0,1
1,1,1,0,0,4.901564199041894,1,2,2,1,0
1,3,0,0,0,2.0856720914304723,0,0,2,1,0
0,1,0,0,0,3.56953269648137,0,0,2,1,0
1,2,0,1,1,3.258096538021482,0,3,0,0,2
1,1,1,3,2,5.572154032177765,0,2,1,0,5
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,2,0,0,0,2.5649493574615367,0,0,2,1,0
1,2,1,0,0,2.5649493574615367,0,2,1,1,0
1,2,1,0,0,2.5649493574615367,0,2,2,1,0
1,3,1,1,0,2.7788192719904172,0,1,2,0,1
1,3,0,1,1,2.766319109226186,0,3,0,0,2
0,3,0,0,0,2.1590033645160216,0,0,2,1,0
0,3,0,0,0,2.221917189926591,0,0,1,1,0
0,1,0,0,0,3.5553480614894135,0,0,2,1,0
0,3,0,1,1,1.9781283799793465,1,0,0,0,2
0,3,0,1,0,2.8791984572980396,0,0,1,0,1
0,3,0,0,0,1.9775472339984959,1,0,2,1,0
0,3,0,0,0,2.2512917986064953,0,0,1,1,0
1,1,1,0,1,4.007333185232471,0,2,1,0,1
0,2,1,0,0,2.5649493574615367,0,2,2,1,0
1,3,1,0,0,2.0642263758733557,2,2,1,1,0
1,3,1,0,0,2.0642263758733557,2,2,1,1,0
0,3,0,1,4,3.32862668882732,0,0,2,0,5
0,2,0,1,0,3.32218303393412,1,0,1,0,1
0,3,1,0,1,2.6709850297651974,1,1,2,0,1
0,3,0,0,0,1.9530276168241774,0,0,2,1,0
0,3,0,1,0,2.740840023925201,2,0,2,0,1
0,3,0,0,0,1.9810014688665833,0,0,1,1,0
1,1,1,1,0,4.3208159036289855,1,1,3,0,1
1,3,1,0,0,1.9781283799793465,1,1,2,1,0
1,3,1,0,0,2.0476928433652555,2,2,1,1,0
1,1,1,0,0,4.238444906195857,1,2,1,1,0
1,1,0,1,0,4.015332018192187,1,0,1,0,1
0,3,0,1,0,1.8711558142080713,0,0,1,0,1
0,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,1,0,0,0,4.909954920578875,1,0,1,1,0
0,3,1,3,1,3.048087503887919,0,2,0,0,4
1,1,1,1,0,4.408800007809053,1,1,2,0,1
1,3,1,0,0,1.9810014688665833,0,2,1,1,0
0,1,0,0,2,5.354224998486333,1,0,1,0,2
0,3,0,0,0,1.3894144884561344,1,0,1,1,0
0,3,0,0,0,2.0509134580652977,0,0,1,1,0
1,1,1,0,0,5.427260122463419,1,2,2,1,0
1,3,1,0,2,2.7563132422397203,1,2,0,0,2
0,3,0,0,0,2.0700223197633445,0,0,1,1,0
1,1,1,1,0,3.9512437185814275,0,1,2,0,1
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
0,2,0,0,0,4.297285406218791,0,0,1,1,0
0,3,0,5,2,3.8480176754522337,0,3,0,0,7
1,2,1,0,0,2.5649493574615367,0,2,2,1,0
0,3,0,0,0,2.0450053643587083,2,0,2,1,0
1,2,1,0,0,2.4849066497880004,1,2,1,1,0
1,1,0,1,2,4.787491742782046,0,0,2,0,3
1,3,0,0,0,2.0535851271346086,0,0,1,1,0
0,3,0,2,0,2.0700223197633445,0,0,1,0,2
1,1,1,1,0,4.729818490553202,1,2,1,0,1
1,3,1,0,2,2.8154087194227095,0,1,1,0,2
0,3,0,0,0,2.0535851271346086,0,0,1,1,0
0,3,1,0,0,2.061048420562944,0,2,1,1,0
0,2,0,0,0,3.258096538021482,0,0,2,1,0
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
1,2,1,0,0,2.5376572151735295,0,1,1,1,0
1,3,0,0,0,2.0700223197633445,0,0,2,1,0
0,3,0,0,0,2.0856720914304723,0,0,1,1,0
0,3,1,1,0,2.284930157755325,0,2,1,0,1
0,3,0,1,0,2.7631695003232895,0,0,1,0,1
0,3,1,0,0,2.1590033645160216,0,2,1,1,0
0,2,0,1,0,3.044522437723423,0,0,2,0,1
0,3,0,0,0,2.0476928433652555,0,0,3,1,0
1,2,0,1,1,2.9311937524164198,0,3,0,0,2
0,3,0,0,0,2.0509134580652977,0,0,1,1,0
0,3,1,3,1,3.237371716404032,0,2,1,0,4
0,3,0,0,0,2.0663309725297405,0,0,2,1,0
0,3,0,0,0,1.925459597615898,2,0,2,1,0
1,1,1,1,0,4.499809670330265,2,2,2,0,1
0,2,0,0,0,0.0,0,0,2,1,0
1,3,0,0,0,2.0700223197633445,0,0,2,1,0
0,3,1,0,0,2.0856720914304723,0,1,2,1,0
1,2,1,1,1,3.481240089335692,0,1,2,0,2
1,2,1,0,2,2.5649493574615367,0,2,1,0,2
0,2,0,0,0,2.5649493574615367,0,0,1,1,0
0,3,1,0,2,3.184284380098582,0,2,0,0,2
0,3,0,0,0,2.0663309725297405,1,0,2,1,0
0,3,0,0,0,2.0455356796500372,2,0,1,1,0
0,3,0,0,0,2.063693184711697,0,0,1,1,0
0,3,1,1,1,2.667228206581955,0,1,1,0,2
0,3,0,1,1,3.006301224903225,0,0,1,0,2
0,3,0,0,0,1.9810014688665833,0,0,2,1,0
1,2,1,1,0,3.258096538021482,0,1,1,0,1
1,2,1,0,0,3.258096538021482,0,2,1,1,0
0,3,0,0,0,2.0476928433652555,2,0,2,1,0
1,3,0,0,0,2.0856720914304723,0,0,1,1,0
1,1,0,0,0,3.279029747687948,0,0,1,1,0
1,3,1,1,0,2.7788192719904172,0,1,2,0,1
1,2,1,1,0,3.258096538021482,0,1,2,0,1
0,3,0,0,0,1.9636097261547143,0,0,1,1,0
0,1,0,1,0,4.023564380161053,0,0,3,0,1
1,1,1,1,2,4.787491742782046,0,2,0,0,3
0,3,1,2,2,3.5373295559867355,0,2,1,0,4
1,2,1,2,3,2.9311937524164198,0,1,1,0,5
0,1,0,1,4,5.572154032177765,0,0,3,0,5
0,2,0,0,0,2.3513752571634776,0,0,1,1,0
1,2,1,1,1,3.2676659890376327,0,1,2,0,2
0,3,0,0,0,2.2512917986064953,0,0,1,1,0
0,3,0,1,0,2.0509134580652977,0,0,1,0,1
1,2,1,0,0,2.5649493574615367,0,2,1,1,0
1,3,0,0,0,2.0934060820302083,0,0,2,1,0
1,1,0,0,2,4.404989703685167,0,3,0,0,2
1,2,1,0,1,2.970414465569701,0,2,0,0,1
1,1,0,0,0,3.279029747687948,0,0,2,1,0
1,3,1,2,1,2.957942136638392,1,2,0,0,3
1,1,0,0,0,3.417726683613366,0,0,3,1,0
0,2,0,1,2,3.3232358401924436,0,0,2,0,3
0,3,0,1,0,2.9940658859009823,0,0,2,0,1
0,1,0,0,0,3.3232358401924436,1,0,1,1,0
1,1,0,1,0,4.489806471412939,1,0,3,0,1
0,3,0,0,0,2.0856720914304723,0,0,2,1,0
1,3,0,0,0,2.0663309725297405,1,0,1,1,0
0,1,0,0,0,3.279029747687948,0,0,4,1,0
1,1,1,1,0,3.948595985658986,0,1,2,0,1
1,2,1,0,0,2.3513752571634776,0,2,3,1,0
0,3,0,0,0,2.0476928433652555,2,0,2,1,0
1,1,0,0,0,3.279029747687948,0,0,2,1,0
0,3,0,0,0,2.0856720914304723,0,0,2,1,0
0,1,0,0,0,3.6506582412937387,0,0,2,1,0
0,2,0,0,0,2.5649493574615367,0,0,2,1,0
0,3,0,0,0,2.0856720914304723,0,0,2,1,0
0,3,0,0,0,1.9530276168241774,0,0,2,1,0
0,2,0,0,0,0.0,0,0,2,1,0
0,1,0,0,0,3.279029747687948,0,0,3,1,0
0,3,0,0,0,2.044461822783809,2,0,2,1,0
1,3,1,2,1,2.957942136638392,1,2,0,0,3
0,3,0,0,0,1.9810014688665833,0,0,2,1,0
0,3,0,0,0,2.1590033645160216,0,0,2,1,0
1,2,1,1,2,3.3232358401924436,0,1,2,0,3
1,2,1,0,0,2.6240669619446257,1,1,1,1,0
0,3,1,0,0,2.2862016137435215,0,2,1,1,0
0,1,0,0,0,3.9512437185814275,0,0,2,1,0
0,2,0,1,0,3.044522437723423,0,0,2,0,1
0,3,0,1,0,1.9524316946169533,0,0,1,0,1
0,3,0,0,0,2.017672515282204,0,0,1,1,0
1,3,1,0,1,2.5085824854732848,0,2,0,0,1
0,3,0,5,2,3.8480176754522337,0,3,0,0,7
0,2,0,0,0,0.0,0,0,2,1,0
0,3,0,0,0,2.0856720914304723,0,0,3,1,0
1,3,1,0,0,2.260460166693375,0,1,3,1,0
1,1,0,1,0,4.51172945766992,1,0,1,0,1
0,3,1,3,1,3.237371716404032,0,2,1,0,4
1,1,1,1,0,4.499809670330265,0,1,2,0,1
